id,Count,Angle,Easting,Northing,longitude,latitude
305,1,299,529250,181055,-0.13876744,51.51364366
306,1,299,529246,181061,-0.138822853,51.51369849
307,3,299,529243,181066,-0.13886423,51.51374411
308,1,119,529246,181048,-0.138827615,51.51358166
309,1,119,529239,181059,-0.138924406,51.51368212
310,1,214,529243,181028,-0.138878149,51.51340262
311,2,214,529249,181031,-0.138790634,51.5134282
312,2,297,529291,181064,-0.138173625,51.51371516
313,1,300,529280,181086,-0.138323996,51.51391539
314,2,117,529283,181058,-0.138291046,51.51366307
315,1,120,529280,181064,-0.138332057,51.51371768
316,1,117,529292,181040,-0.138168016,51.51349925
317,5,300,529294,181103,-0.138116126,51.51406496
