WaterCompany,Number of houses,Deaths from Cholera,"Deaths in each 10,000 houses",
waterCompany,houses,deaths,deathsper10000,supplier
Southwark and Vauxhall Company,40046,1263,315,SouthwarkVauxhall
Lambeth Company,26107,98,37,Lambeth
Rest of London,256423,1422,59,Other
